time,travelReason,trips
9:40 AM,travelToWork,95486.67472
9:40 AM,returnHomeFromWork,5419.063668
9:40 AM,travelToClass,18730.79554
9:40 AM,returnHomeFromNonworkLoc,61609.28328
9:40 AM,otherTrip,410394.3436
9:45 AM,travelToWork,87070.57217
9:45 AM,returnHomeFromWork,4661.211543
9:45 AM,travelToClass,17235.85571
9:45 AM,returnHomeFromNonworkLoc,57853.27078
9:45 AM,otherTrip,391887.62
9:50 AM,travelToWork,86165.70845
9:50 AM,returnHomeFromWork,4952.037243
9:50 AM,travelToClass,18703.20996
9:50 AM,returnHomeFromNonworkLoc,63300.66321
9:50 AM,otherTrip,431856.7155
9:55 AM,travelToWork,79719.72346
9:55 AM,returnHomeFromWork,5225.891731
9:55 AM,travelToClass,19361.89982
9:55 AM,returnHomeFromNonworkLoc,67388.08945
9:55 AM,otherTrip,454155.995
10:00 AM,travelToWork,73609.93604
10:00 AM,returnHomeFromWork,5416.11886
10:00 AM,travelToClass,19318.02546
10:00 AM,returnHomeFromNonworkLoc,70003.98167
10:00 AM,otherTrip,466544.1686
10:05 AM,travelToWork,68313.28155
10:05 AM,returnHomeFromWork,5735.617019
10:05 AM,travelToClass,19414.14104
10:05 AM,returnHomeFromNonworkLoc,74075.18226
10:05 AM,otherTrip,485601.5086
10:10 AM,travelToWork,63766.03325
10:10 AM,returnHomeFromWork,5912.178461
10:10 AM,travelToClass,19876.20715
10:10 AM,returnHomeFromNonworkLoc,77593.32417
10:10 AM,otherTrip,501235.333
10:15 AM,travelToWork,56097.48936
10:15 AM,returnHomeFromWork,5428.474302
10:15 AM,travelToClass,18244.77751
10:15 AM,returnHomeFromNonworkLoc,74533.17028
10:15 AM,otherTrip,467583.4267
10:20 AM,travelToWork,56305.73844
10:20 AM,returnHomeFromWork,5804.107007
10:20 AM,travelToClass,17514.71927
10:20 AM,returnHomeFromNonworkLoc,79041.75331
10:20 AM,otherTrip,473653.9667
10:25 AM,travelToWork,54897.89955
10:25 AM,returnHomeFromWork,6114.122423
10:25 AM,travelToClass,15779.76604
10:25 AM,returnHomeFromNonworkLoc,81202.94765
10:25 AM,otherTrip,466516.2964
10:30 AM,travelToWork,53369.675
10:30 AM,returnHomeFromWork,6466.435686
10:30 AM,travelToClass,14475.14736
10:30 AM,returnHomeFromNonworkLoc,84634.39064
10:30 AM,otherTrip,451303.7215
10:35 AM,travelToWork,53520.60113
10:35 AM,returnHomeFromWork,6935.801747
10:35 AM,travelToClass,13747.56495
10:35 AM,returnHomeFromNonworkLoc,95666.18889
10:35 AM,otherTrip,442779.6174
10:40 AM,travelToWork,52634.1737
10:40 AM,returnHomeFromWork,7538.6674
10:40 AM,travelToClass,13284.51192
10:40 AM,returnHomeFromNonworkLoc,106637.5981
10:40 AM,otherTrip,438152.6068
10:45 AM,travelToWork,50613.01708
10:45 AM,returnHomeFromWork,7299.261551
10:45 AM,travelToClass,12285.37288
10:45 AM,returnHomeFromNonworkLoc,110857.9546
10:45 AM,otherTrip,411124.7803
10:50 AM,travelToWork,53094.6732
10:50 AM,returnHomeFromWork,8489.940514
10:50 AM,travelToClass,13251.46127
10:50 AM,returnHomeFromNonworkLoc,123280.3653
10:50 AM,otherTrip,437962.7386
10:55 AM,travelToWork,52221.37475
10:55 AM,returnHomeFromWork,9352.117866
10:55 AM,travelToClass,13159.15696
10:55 AM,returnHomeFromNonworkLoc,132355.2212
10:55 AM,otherTrip,450672.0792
11:00 AM,travelToWork,50389.31015
11:00 AM,returnHomeFromWork,9777.988588
11:00 AM,travelToClass,13333.11517
11:00 AM,returnHomeFromNonworkLoc,137235.2592
11:00 AM,otherTrip,459957.7863
11:05 AM,travelToWork,50130.24184
11:05 AM,returnHomeFromWork,10096.28755
11:05 AM,travelToClass,12527.16501
11:05 AM,returnHomeFromNonworkLoc,145550.5779
11:05 AM,otherTrip,480436.3293
11:10 AM,travelToWork,47295.02161
11:10 AM,returnHomeFromWork,10884.1518
11:10 AM,travelToClass,11944.21339
11:10 AM,returnHomeFromNonworkLoc,152358.4514
11:10 AM,otherTrip,497037.2148
